Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"animator kultury"; "Pisarzowice, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Animator kultury"; "Nieborów, łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ARENA NIEBORÓW Stanisław Bednarek"; "2025-01-27"; 
"Animator kultury"; "Łabiszyn, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Animator kultury"; "Rogowo, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Animator kultury"; "Strumień, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Animator kultury"; "Janowiec Wielkopolski, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"Animator kultury (Stażysta w GOK)"; "Gilowice, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Animator rekreacji i organizacji czasu wolnego"; "Jabłonna Druga, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-12-05"; 
"Animator rekreacji i organizacji czasu wolnego"; "Redzikowo, pomorskie"; "Umowa o pracę na czas określony"; """OŚRODEK SPORTU I REKREACJI REDZIKOWO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Animator rekreacji i organizacji czasu wolnego"; "Augustów, podlaskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"Animator rekreacji i organizacji czasu wolnego"; "Inca. (Mallorca), Hiszpania"; "Umowa o pracę na czas określony"; "GARDEN HOTELS"; "2025-02-07"; 
"Animator rekreacji i organizacji czasu wolnego"; "Węgrów, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Animator rekreacji i organizacji czasu wolnego"; "Budziejewo, wielkopolskie"; "Umowa o pracę na czas określony"; "DWOREK RÓŻA PORAJA BERNARDA SERWATKA SPÓŁKA JAWNA"; "2025-02-20"; 
"Animator rozwoju lokalnej społeczności"; "Golub-Dobrzyń, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "STOWARZYSZENIE LOKALNA GRUPA DZIAŁANIA ""DOLINA DRWĘCY"""; "2025-02-07"; 
"Animator sportu"; "Jeziora Wielkie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. KAZIMIERZA WOŹNIECKIEGO W JEZIORACH WIELKICH"; "2025-02-03"; 
"Animator Sportu i Rekreacji"; "Zdzieszowice, opolskie"; "Umowa o pracę na czas określony"; "Miejsko Gminny Ośrodek Kultury Sportu i Rekreacji"; "2025-02-05"; 
"Animator Turystyczny"; "Zagreb, Chorwacja"; ""; "Love Carpe Diem d.o.o. "; "2024-12-20"; 
"Animator zajęć sportowych "; "Leszno, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSZKOLE ""HAPPY - DAYS - SZCZĘŚLIWE DNI"" W LESZNIE"; "2024-12-19"; 
"Animator/pomoc animatora"; "Wodzisław Śląski, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-01-17"; 
"ankieter"; "Tomaszów Mazowiecki, łódzkie"; "Umowa o pracę na czas określony"; "URZĄD STATYSTYCZNY"; "2025-02-12"; 
"Ankieter"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "URZĄD STATYSTYCZNY w ŁODZI"; "2025-02-12"; 
"Ankieter"; "Piaseczno, mazowieckie"; "Umowa o pracę na okres próbny"; "Urząd Statystyczny w Warszawie"; "2025-02-12"; 
"Ankieter"; "Skierniewice, łódzkie"; "Umowa o pracę na czas określony"; "Urząd Statystyczny w Łodzi"; "2025-02-11"; 
"Ankieter terenowy"; "Rzeszów, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SUN FEE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"APARATOWY"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "ICSO CHEMICAL PRODUCTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Aparatowy mleka spożywczego"; "Chełm, lubelskie"; "Umowa o pracę na okres próbny"; "SPÓŁDZIELNIA MLECZARSKA BIELUCH W CHEŁMIE"; "2025-02-11"; 
"Aparatowy obróbki surowca"; "Wysokie Mazowieckie, podlaskie"; "Nie dotyczy"; "SPÓŁDZIELNIA MLECZARSKA MLEKOVITA"; "2025-02-11"; 
"Aparatowy obróbki surowca"; "Wysokie Mazowieckie, podlaskie"; "Nie dotyczy"; "SPÓŁDZIELNIA MLECZARSKA MLEKOVITA"; "2025-02-11"; 
"Aparatowy obróbki surowca "; "Dobrzyca, wielkopolskie"; "Umowa o pracę na okres próbny"; "Okręgowa Spółdzielnia Mleczarska Kowalew-Dobrzyca"; "2025-01-30"; 
"APARATOWY PROCESÓW CHEMICZNYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "PCC SYNTEZA SPÓŁKA AKCYJNA"; "2024-11-28"; 
"Aparatowy procesów nieorganicznych / ślusarz/spawacz w wytwórni soli chromowych i siarczanów "; "Alwernia, małopolskie"; "Umowa o pracę na okres próbny"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-29"; 
"Aparatowy procesów nieorganicznych w wytwórni soli chromowych i siarczanów "; "Alwernia, małopolskie"; "Umowa o pracę na okres próbny"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-24"; 
"Aparatowy procesów nieorganicznych w wytwórni związków fosforowych "; "Alwernia, małopolskie"; "Umowa o pracę na czas określony"; """ALVENTA"" SPÓŁKA AKCYJNA"; "2025-01-24"; 
"Aparatowy produkcji"; "Gołkowice Dolne, małopolskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO PRZETWÓRSTWA ROLNO-SPOŻYWCZEGO ""BASSO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-20"; 
"Aparatowy R104/0233-104/25"; "Nowa Wieś, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "GRANPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-03"; 
"Aparatowy urządzeń mleczarskich"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na czas określony"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA"; "2025-01-28"; 
"Aparatowy w produkcji węglopochodnych"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "KOKSOWNIA BYTOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Aplikant - strażnik miejski"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "Straż Miejska Wrocławia"; "2025-02-06"; 
"Arborysta - Pilarz - DrwaL"; "Wadowice, małopolskie"; "Umowa o pracę na okres próbny"; "AlpinProTech-Tomasz Wójcik"; "2025-02-13"; 
"Arborysta Pilarz"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "ANNA SZCZUBIAŁ ZAKŁAD KONSERWACJI ZIELENI ""OGRÓD-SYSTEM II"""; "2025-01-23"; 
"Archeolog"; "Międzyrzecz, lubuskie"; "Umowa o pracę na okres próbny"; "Muzeum Ziemi Międzyrzeckiej im. Alfa Kowalskiego"; "2025-01-15"; 
"Architekt"; "Sopot, pomorskie"; "Umowa o pracę na okres próbny"; "BLACKJOB BUDOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Architekt"; "Różan, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-14"; 
"Architekt"; "Lubin, dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ZESPÓŁ PROJEKTOWY MGR INŻ. ROBERT OLECHNOWSKI"; "2025-02-17"; 
"Architekt / Asystent architekta"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-02-13"; 
"Architekt/Asystent architekta, Projektant/asystent projektanta branży: drogowej/konstrukcyjnej/instalacji elektrycznych/instalacji sanitarnych"; "Wrocław, dolnośląskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA S.A."; "2025-01-31"; 
"archiwista"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Archiwista"; "Żnin, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Archiwista"; "Drawsko Pomorskie, zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Archiwista"; "Żnin, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Archiwista"; "Będzin, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Archiwista "; "Byczyna, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Archiwista (0,5 etatu) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "X Liceum Ogólnokształcące im. Królowej Jadwigi"; "2025-02-01"; 
"Archiwista (KD 1101.5.2025)"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "SĄD REJONOWY DLA MIASTA STOŁECZNEGO WARSZAWY W WARSZAWIE"; "2025-02-11"; 
"Archiwista (Wydział Administracyjno-Gospodarczy)"; "Mińsk Mazowiecki, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Archiwista k/m"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "X Liceum Ogólnokształcące im. Królowej Jadwigi"; "2025-02-03"; 
"Archiwista zakładowy"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Archiwista zakładowy"; "Bartoszyce, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Archiwista zakładowy"; "Łaskarzew, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Archiwista zakładowy"; "Garwolin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Archiwista zakładowy - Zakład Ubezpieczeń Społecznych Oddział w Olsztynie, Inspektorat w Szczytnie"; "Szczytno, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Archiwista zakładowy (staż)"; "Ryki, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Archiwista zakładowy (staż)"; "Ryki, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Aspirant pracy socjalnej"; "Udanin, dolnośląskie"; "Umowa o pracę na czas określony"; "Gminny Ośrodek Pomocy Społecznej w Udaninie"; "2024-11-20"; 
"ASPIRANT PRACY SOCJALNEJ"; "Poznań, wielkopolskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK POMOCY RODZINIE W POZNANIU"; "2025-02-06"; 
"Aspirant pracy socjalnej "; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "Dom Pomocy Społecznej SS. Maryi Niepokalanej"; "2025-01-23"; 
"Aspirant pracy socjalnej / Pracownik socjalny  (DS. 130.12.2025)"; "Katowice, śląskie"; "Umowa o pracę w zastępstwie"; "MIEJSKI OŚRODEK POMOCY SPOŁECZNEJ W KATOWICACH"; "2025-02-13"; 
"Aspirant Pracy Socjalnej / Pracownik Socjalny / Specjalista Reinetgracji Zawodowej KLUB SENIORA [DS.130.14.2025]"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK POMOCY SPOŁECZNEJ W KATOWICACH"; "2025-02-21"; 
"Aspirant pracy socjalnej ofpr/24/0620"; "Bierutów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Miejsko-Gminny Ośrodek Pomocy Społecznej"; "2024-12-16"; 
"Asysten florysty/sprzedawca kwiatów"; "Racibórz, śląskie"; "Umowa o pracę na okres próbny"; "KWIACIARNIA DARIA KRZEMIEŃ"; "2025-01-30"; 
"ASYSTEN KAS SAMOOBSLUGOWYCH"; "Mianowice, wielkopolskie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-13"; 
"Asystent"; "Piotrków Trybunalski, łódzkie"; "Umowa o pracę na okres próbny"; "TOMASZ KOŁODZIEJCZYK ""PROMEDIA"""; "2025-02-07"; 
"Asystent"; "Piecnik, zachodniopomorskie"; "Umowa o pracę na czas określony"; "BRE Sp. z o.o."; "2025-02-12"; 
"Asystent agenta ubezpieczeniowego"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"asystent architekta"; "Wisła Wielka, śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2020-05-12"; 
"asystent architekta"; "Zielona Góra, lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"Asystent architekta"; "Pruszcz Gdański, pomorskie"; "Umowa o pracę na czas określony"; "B&W Usługi Ogólnobudowlane Bożena Dzidkowska"; "2025-01-16"; 
"Asystent architekta"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA S.A."; "2025-02-06"; 
"Asystent biura + ST ŁAZ III"; "Łódź, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent biura i rekrutacji"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "M8B Spółka z ograniczoną odpowiedzialnością"; "2025-01-31"; 
"Asystent biura LGD"; "Luzino, pomorskie"; "Umowa o pracę na okres próbny"; "LOKALNA GRUPA DZIAŁANIA ""KASZUBSKA DROGA"""; "2025-02-20"; 
"Asystent Biura Obsługi Klienta "; "Rybnik, śląskie"; "Umowa o pracę na czas określony"; "WEKTOR CONSULTING SP. Z O.O."; "2025-02-10"; 
"Asystent biura obsługi klienta - serwisu"; "Rawa Mazowiecka, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Asystent Biura Obsługi Klienta w projektach UE"; "Bielsko-Biała, śląskie"; "Umowa o pracę na czas określony"; "WEKTOR CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-12"; 
"Asystent biura projektowego"; "Katowice, śląskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-02-13"; 
"Asystent biura rozwoju produktu"; "Przyszowice, śląskie"; "Umowa o pracę na okres próbny"; "HALANTEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"Asystent biurowy"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent biurowy"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "Fundacja na rzecz Rozwoju Polskiego Rolnictwa"; "2025-01-31"; 
"Asystent biurowy ( oferta stażu dla osób zarejestrowanych w MUP Kielce)"; "Kielce, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent brokera"; "Pułtusk, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent do spraw dotacji grantowych OZE"; "Piekary Śląskie, śląskie"; "Umowa o pracę na czas określony"; "EKOSCAN INNOWACJA I ROZWÓJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Asystent do spraw kadr"; "Tuchola, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw koordynacji klienta ze znajomością języka francuskiego"; "Morawica, świętokrzyskie"; "Umowa o pracę na okres próbny"; "ESKA SIERZPUTOWSKA Spółka Jawna"; "2025-02-06"; 
"ASYSTENT DO SPRAW KSIEGOWOŚCI"; "Piliki, podlaskie"; "Umowa o pracę na czas nieokreślony"; "DORADCA PODATKOWY MIROSŁAW ROSZCZYC NR WPISU 10811"; "2025-01-27"; 
"asystent do spraw księgowości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"asystent do spraw księgowości"; "Olsztyn, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Warszawa, mazowieckie"; "Praktyka absolwencka"; "WW Finance Sp. z o.o."; "2023-09-29"; 
"Asystent do spraw księgowości"; "Lublin, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2024-11-12"; 
"Asystent do spraw księgowości"; "Konieczno, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "ELBET Sp. z o.o."; "2025-01-03"; 
"Asystent do spraw księgowości"; "Radziłów, podlaskie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA USŁUG ROLNICZYCH w Radziłowie"; "2025-01-15"; 
"Asystent do spraw księgowości"; "Warszawa, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-29"; 
"Asystent do spraw księgowości"; "Lublin, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-17"; 
"Asystent do spraw księgowości"; "Nowy Tomyśl, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"Asystent do spraw księgowości"; "Gliwice, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-24"; 
"Asystent do spraw księgowości"; "Mrągowo, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Asystent do spraw księgowości"; "Żuromin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-01"; 
"Asystent do spraw księgowości"; "Lębork, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Asystent do spraw księgowości"; "Skawina, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Asystent do spraw księgowości"; "Morąg, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Asystent do spraw księgowości"; "Siciny, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Asystent do spraw księgowości"; "Skarszewy, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Asystent do spraw księgowości"; "Strzyżów, podkarpackie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO PRODUKCYJNO USŁUGOWE ""ZAGRODA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Asystent do spraw księgowości"; "Lubaczów, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Asystent do spraw księgowości"; "Garwolin, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Asystent do spraw księgowości"; "Nysa, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
"Asystent do spraw księgowości"; "Świętomierz, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "USŁUGI KSIĘGOWE AGNIESZKA MARCINIAK"; "2025-02-11"; 
"Asystent do spraw księgowości"; "Mińsk Mazowiecki, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Asystent do spraw księgowości"; "Brzeg, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Asystent do spraw księgowości"; "Bieliny, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Asystent do spraw księgowości"; "Wałbrzych, dolnośląskie"; "Umowa o pracę na okres próbny"; "Kancelaria Doradztwa Podatkowego mgr Grażyna Wysocka"; "2025-02-12"; 
"Asystent do spraw księgowości"; "Bieliny, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Warszawa, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Asystent do spraw księgowości"; "Węgrów, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Janowiec, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Kłodzko, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Gliwice, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw księgowości"; "Kazimierza Wielka, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw księgowości"; "Szydłówek, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw księgowości"; "Łowicz, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw księgowości"; "Przasnysz, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw księgowości"; "Będzin, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Asystent do spraw księgowości"; "Oleśnica, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-17"; 
"Asystent do spraw księgowości"; "Dęblin, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-17"; 
"Asystent do spraw księgowości"; "Nowogard, zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Ustrzyki Dolne, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Radymno, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Pyrzyce, zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Ostróda, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Lwówek Śląski, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-18"; 
"Asystent do spraw księgowości"; "Sztum, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości"; "Siedlce, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości"; "Sienna, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości"; "Gdów, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości"; "Radomsko, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości"; "Jarocin, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Jarocin, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Leżajsk, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Przodkowo, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Kartuzy, pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Żywiec, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Nowy Sącz, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości"; "Tomaszów Mazowiecki, łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"Asystent do spraw księgowości"; "Lidzbark Warmiński, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"Asystent do spraw księgowości - oferta stażu przeznaczona dla osób bezrobotnych zarejestrowanych w Urzędzie Pracy w Słupcy"; "Kornaty, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-19"; 
"Asystent do spraw księgowości - staż"; "Rawicz, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-12"; 
"Asystent do spraw księgowości - staż FP"; "Warszawa, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
"Asystent do spraw księgowości ( oferta stażu dla osób zarejestrowanych w MUP Kielce)"; "Kielce, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw księgowości (Staż Algorytm) E 1/1"; "Wałbrzych, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-21"; 
"Asystent do spraw księgowości (staż EFS+)"; "Lubin, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-13"; 
"Asystent do spraw spedycji - Staż"; "Racibórz, śląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-22"; 
"Asystent do spraw sprzedaży"; "Kawcze, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"Asystent do spraw sprzedaży"; "Kawcze, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-11"; 
"asystent do spraw ubezpieczeń"; "Bydgoszcz, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-14"; 
"Asystent do spraw ubezpieczeń"; "Bolesławiec, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-14"; 
